,From,To,Date,Subject,From_Name,To_Name,CurrentEmploymentType_To_List,CurrentEmploymentType_To_Unique,Subject_new,just_date,day,Time_of_day,LastName_From,FirstName_From,BirthDate_From,BirthCountry_From,Gender_From,CitizenshipCountry_From,CitizenshipBasis_From,CitizenshipStartDate_From,PassportCountry_From,PassportIssueDate_From,PassportExpirationDate_From,CurrentEmploymentType_From,CurrentEmploymentTitle_From,CurrentEmploymentStartDate_From,EmailAddress_From,MilitaryServiceBranch_From,MilitaryDischargeType_From,MilitaryDischargeDate_From,CurrentEmploymentType_Original_From,CurrentEmploymentType_To_Unlisted
302,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Nils.Calixto@gastech.com.kronos",2014-01-08 16:27:00,Question about behavior of field device,Sven Flecha,"['Flecha Sven', 'Alcazar Lucas', 'Calixto Nils']","['IT', 'IT', 'IT']",['IT'],Question about behavior of field device,2014-01-08,8,Working hours (9-5),Flecha,Sven,1986-11-11,Tethys,Male,Tethys,BirthNation,1986-11-11,Tethys,2006-10-09,2016-10-08,IT,IT Technician,2010-10-15,Sven.Flecha@gastech.com.kronos,,,,Information Technology,IT
303,Lucas.Alcazar@gastech.com.kronos,"Isak.Baza@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos",2014-01-08 16:28:00,RE: GT website under attack,Lucas Alcazar,"['Baza Isak', 'Alcazar Lucas']","['IT', 'IT']",['IT'], GT website under attack,2014-01-08,8,Working hours (9-5),Alcazar,Lucas,1990-04-17,Tethys,Male,Tethys,BirthNation,1990-04-17,Tethys,2013-01-24,2023-01-23,IT,IT Helpdesk,2010-11-30,Lucas.Alcazar@gastech.com.kronos,,,,Information Technology,IT
304,Henk.Mies@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos",2014-01-08 16:34:00,RE: Caution downtown,Henk Mies,"['Morlun Adan', 'Mies Henk', 'Hawelon Benito']","['Facilities', 'Facilities', 'Facilities']",['Facilities'], Caution downtown,2014-01-08,8,Working hours (9-5),Mies,Henk,1984-09-23,Kronos,Male,Kronos,BirthNation,1984-09-23,,,,Facilities,Truck Driver,2013-07-12,Henk.Mies@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,2004-10-01,Facilities,Facilities
305,Henk.Mies@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos",2014-01-08 16:48:00,RE: Caution downtown,Henk Mies,"['Morlun Adan', 'Mies Henk', 'Hawelon Benito']","['Facilities', 'Facilities', 'Facilities']",['Facilities'], Caution downtown,2014-01-08,8,Working hours (9-5),Mies,Henk,1984-09-23,Kronos,Male,Kronos,BirthNation,1984-09-23,,,,Facilities,Truck Driver,2013-07-12,Henk.Mies@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,2004-10-01,Facilities,Facilities
306,Stenig.Fusil@gastech.com.kronos,"Minke.Mies@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos",2014-01-08 16:48:00,RE: Notification of outside visit,Stenig Fusil,"['Mies Minke', 'Fusil Stenig', 'Resumir Felix', 'Herrero Kanon', 'Bodrogi Loreto', 'Osvaldo Hennie']","['Security', 'Security', 'Security', 'Security', 'Security', 'Security']",['Security'], Notification of outside visit,2014-01-08,8,Working hours (9-5),Fusil,Stenig,1963-04-29,Tethys,Male,Tethys,BirthNation,1963-04-29,Tethys,2006-04-03,2016-04-02,Security,Building Control,2004-02-05,Stenig.Fusil@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,1987-10-01,Security,Security
307,Adan.Morlun@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos",2014-01-08 16:48:00,RE: Caution downtown,Adan Morlun,"['Morlun Adan', 'Mies Henk', 'Hawelon Benito']","['Facilities', 'Facilities', 'Facilities']",['Facilities'], Caution downtown,2014-01-08,8,Working hours (9-5),Morlun,Adan,1984-10-09,Kronos,Male,Kronos,BirthNation,1984-10-09,,,,Facilities,Truck Driver,2006-01-14,Adan.Morlun@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,2005-10-01,Facilities,Facilities
308,Stenig.Fusil@gastech.com.kronos,"Minke.Mies@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos",2014-01-08 17:02:00,RE: Notification of outside visit,Stenig Fusil,"['Mies Minke', 'Fusil Stenig', 'Resumir Felix', 'Herrero Kanon', 'Bodrogi Loreto', 'Osvaldo Hennie']","['Security', 'Security', 'Security', 'Security', 'Security', 'Security']",['Security'], Notification of outside visit,2014-01-08,8,Working hours (9-5),Fusil,Stenig,1963-04-29,Tethys,Male,Tethys,BirthNation,1963-04-29,Tethys,2006-04-03,2016-04-02,Security,Building Control,2004-02-05,Stenig.Fusil@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,1987-10-01,Security,Security
309,Benito.Hawelon@gastech.com.kronos,"Emile.Arpa@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos",2014-01-08 17:02:00,RE: New refueling policies - Effective February 1,Benito Hawelon,"['Arpa Emile', 'Morlun Valeria', 'Awelon Varro', 'Morluniau Cecilia', 'Hafon Albina', 'Mies Henk', 'Coginian Dante', 'Hawelon Claudio']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'], New refueling policies - Effective February 1,2014-01-08,8,Working hours (9-5),Hawelon,Benito,1978-11-23,Kronos,Male,Kronos,BirthNation,1978-11-23,,,,Facilities,Truck Driver,2000-02-21,Benito.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1999-10-01,Facilities,Facilities
310,Hennie.Osvaldo@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,Vira.Frente@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,Marin.Onda@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Brand.Tempestad@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,Sten.SanjorgeJr.@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,Bertrand.Ovan@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Isia.Vann@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,Minke.Mies@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Anda.Ribera@gastech.com.kronos",2014-01-08 17:06:00,RE: Vacation donation request,Hennie Osvaldo,All,"['Executive', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Executive', 'Executive', 'Executive', 'Executive', 'Executive', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'IT', 'IT', 'IT', 'IT', 'IT', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Facilities', 'Facilities', 'Executive', 'Facilities', 'IT', 'Executive', 'Security', 'Engineering', 'Executive']",['Executive' 'Engineering' 'Facilities' 'IT' 'Security'], Vacation donation request,2014-01-08,8,Working hours (9-5),Osvaldo,Hennie,1988-05-31,Kronos,Male,Kronos,BirthNation,1988-05-31,,,,Security,Perimeter Control,2011-06-07,Hennie.Osvaldo@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,2010-10-01,Security,Not unique department
311,Benito.Hawelon@gastech.com.kronos,"Dylan.Scozzese@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Irene.Nant@gastech.com.kronos",2014-01-08 17:17:00,RE: New refueling policies - Effective February 1,Benito Hawelon,"['Scozzese Dylan', 'Coginian Dante', 'Morlun Valeria', 'Arpa Emile', 'Hawelon Benito', 'Hawelon Claudio', 'Mies Henk', 'Hafon Albina', 'Morlun Adan', 'Nant Irene']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'], New refueling policies - Effective February 1,2014-01-08,8,Working hours (9-5),Hawelon,Benito,1978-11-23,Kronos,Male,Kronos,BirthNation,1978-11-23,,,,Facilities,Truck Driver,2000-02-21,Benito.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1999-10-01,Facilities,Facilities
312,Dante.Coginian@gastech.com.kronos,"Irene.Nant@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Dante.Coginian@gastech.com.kronos",2014-01-08 17:18:00,RE: New refueling policies - Effective February 1,Dante Coginian,"['Nant Irene', 'Morlun Adan', 'Arpa Emile', 'Hawelon Benito', 'Hawelon Claudio', 'Mies Henk', 'Coginian Dante']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'], New refueling policies - Effective February 1,2014-01-08,8,Working hours (9-5),Coginian,Dante,1971-12-01,Kronos,Male,Kronos,BirthNation,1971-12-01,,,,Facilities,Lead Janitor,1995-01-07,Dante.Coginian@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,1992-10-01,Facilities,Facilities
313,Carla.Forluniau@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos",2014-01-08 17:26:00,RE: Does anyone have ...,Carla Forluniau,"['Bramar Mat', 'Ribera Anda', 'Pantanal Rachel', 'Lagos Linda', 'Mies Haber Ruscella', 'Forluniau Carla', 'Lais Cornelia']","['Executive', 'Executive', 'Executive', 'Executive', 'Engineering', 'IT', 'Security']",['Executive' 'Engineering' 'IT' 'Security'], Does anyone have ...,2014-01-08,8,Working hours (9-5),Forluniau,Carla,1981-06-02,Kronos,Female,Kronos,BirthNation,1981-06-02,,,,IT,Assistant to IT Group Manager,2005-03-07,Carla.Forluniau@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,2001-10-01,Administration,Not unique department
314,Stenig.Fusil@gastech.com.kronos,"Minke.Mies@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos",2014-01-08 17:35:00,RE: Notification of outside visit,Stenig Fusil,"['Mies Minke', 'Fusil Stenig', 'Resumir Felix', 'Herrero Kanon', 'Bodrogi Loreto', 'Osvaldo Hennie']","['Security', 'Security', 'Security', 'Security', 'Security', 'Security']",['Security'], Notification of outside visit,2014-01-08,8,Working hours (9-5),Fusil,Stenig,1963-04-29,Tethys,Male,Tethys,BirthNation,1963-04-29,Tethys,2006-04-03,2016-04-02,Security,Building Control,2004-02-05,Stenig.Fusil@gastech.com.kronos,TethanDefenseForceArmy,HonorableDischarge,1987-10-01,Security,Security
315,Ada.Campo-Corrente@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,Vira.Frente@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,Marin.Onda@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Brand.Tempestad@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,Sten.SanjorgeJr.@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,Bertrand.Ovan@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Isia.Vann@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,Minke.Mies@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Anda.Ribera@gastech.com.kronos",2014-01-08 18:18:00,RE: Vacation donation request,Ada Campo-Corrente,All,"['Executive', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Executive', 'Executive', 'Executive', 'Executive', 'Executive', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'IT', 'IT', 'IT', 'IT', 'IT', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Facilities', 'Facilities', 'Executive', 'Facilities', 'IT', 'Executive', 'Security', 'Engineering', 'Executive']",['Executive' 'Engineering' 'Facilities' 'IT' 'Security'], Vacation donation request,2014-01-08,8,After hours (the rest),Campo-Corrente,Ada,1951-11-26,Tethys,Female,Tethys,BirthNation,1951-11-26,Tethys,2013-07-14,2023-07-13,Executive,SVP/CIO,2004-10-05,Ada.Campo-Corrente@gastech.com.kronos,,,,Executive,Not unique department
316,Isande.Borrasca@gastech.com.kronos,"Rachel.Pantanal@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Felix.Balas@gastech.com.kronos,Isande.Borrasca@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Gustav.Cazar@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos,Birgitta.Frente@gastech.com.kronos,Vira.Frente@gastech.com.kronos,Adra.Nubarron@gastech.com.kronos,Marin.Onda@gastech.com.kronos,Kare.Orilla@gastech.com.kronos,Elsa.Orilla@gastech.com.kronos,Brand.Tempestad@gastech.com.kronos,Ingrid.Barranco@gastech.com.kronos,Ada.Campo-Corrente@gastech.com.kronos,Sten.SanjorgeJr.@gastech.com.kronos,Orhan.Strum@gastech.com.kronos,Willem.Vasco-Pais@gastech.com.kronos,Bertrand.Ovan@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Isak.Baza@gastech.com.kronos,Linnea.Bergen@gastech.com.kronos,Nils.Calixto@gastech.com.kronos,Sven.Flecha@gastech.com.kronos,Hideki.Cocinaro@gastech.com.kronos,Inga.Ferro@gastech.com.kronos,Loreto.Bodrogi@gastech.com.kronos,Isia.Vann@gastech.com.kronos,Stenig.Fusil@gastech.com.kronos,Hennie.Osvaldo@gastech.com.kronos,Kanon.Herrero@gastech.com.kronos,Varja.Lagos@gastech.com.kronos,Minke.Mies@gastech.com.kronos,Felix.Resumir@gastech.com.kronos,Edvard.Vann@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Mat.Bramar@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Anda.Ribera@gastech.com.kronos",2014-01-08 18:22:00,RE: Vacation donation request,Isande Borrasca,All,"['Executive', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Engineering', 'Executive', 'Executive', 'Executive', 'Executive', 'Executive', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'IT', 'IT', 'IT', 'IT', 'IT', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Security', 'Facilities', 'Facilities', 'Executive', 'Facilities', 'IT', 'Executive', 'Security', 'Engineering', 'Executive']",['Executive' 'Engineering' 'Facilities' 'IT' 'Security'], Vacation donation request,2014-01-08,8,After hours (the rest),Borrasca,Isande,1979-10-22,Tethys,Female,Tethys,BirthNation,1979-10-22,Tethys,2008-10-03,2018-10-02,Engineering,Drill Technician,2004-02-18,Isande.Borrasca@gastech.com.kronos,,,,Engineering,Not unique department
317,Linda.Lagos@gastech.com.kronos,"Mat.Bramar@gastech.com.kronos,Anda.Ribera@gastech.com.kronos,Rachel.Pantanal@gastech.com.kronos,Linda.Lagos@gastech.com.kronos,Ruscella.Mies.Haber@gastech.com.kronos,Carla.Forluniau@gastech.com.kronos,Cornelia.Lais@gastech.com.kronos",2014-01-08 18:28:00,RE: Does anyone have ...,Linda Lagos,"['Bramar Mat', 'Ribera Anda', 'Pantanal Rachel', 'Lagos Linda', 'Mies Haber Ruscella', 'Forluniau Carla', 'Lais Cornelia']","['Executive', 'Executive', 'Executive', 'Executive', 'Engineering', 'IT', 'Security']",['Executive' 'Engineering' 'IT' 'Security'], Does anyone have ...,2014-01-08,8,After hours (the rest),Lagos,Linda,1980-01-26,Tethys,Female,Tethys,BirthNation,1980-01-26,Tethys,2009-11-01,2019-10-31,Executive,Assistant to COO,2010-02-01,Linda.Lagos@gastech.com.kronos,,,,Administration,Not unique department
318,Benito.Hawelon@gastech.com.kronos,"Benito.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos",2014-01-08 18:53:00,RE: New refueling policies - Effective February 1,Benito Hawelon,"['Hawelon Benito', 'Mies Henk', 'Awelon Varro', 'Morluniau Cecilia', 'Hafon Albina', 'Arpa Emile', 'Hawelon Claudio']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'], New refueling policies - Effective February 1,2014-01-08,8,After hours (the rest),Hawelon,Benito,1978-11-23,Kronos,Male,Kronos,BirthNation,1978-11-23,,,,Facilities,Truck Driver,2000-02-21,Benito.Hawelon@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,1999-10-01,Facilities,Facilities
319,Lars.Azada@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos",2014-01-08 19:01:00,RE: Field work rotation schedule,Lars Azada,"['Nubarron Adra', 'Azada Lars', 'Calzas Axel', 'Dedos Lidelse']","['Engineering', 'Engineering', 'Engineering', 'Engineering']",['Engineering'], Field work rotation schedule,2014-01-08,8,After hours (the rest),Azada,Lars,1973-04-30,Tethys,Male,Tethys,BirthNation,1973-04-30,Tethys,2011-06-01,2021-05-31,Engineering,Engineer,1995-12-01,Lars.Azada@gastech.com.kronos,TethanDefenseForceAir,GeneralDischarge,1995-10-01,Engineering,Engineering
320,Sven.Flecha@gastech.com.kronos,"Sven.Flecha@gastech.com.kronos,Lucas.Alcazar@gastech.com.kronos,Nils.Calixto@gastech.com.kronos",2014-01-08 19:15:00,RE: Question about behavior of field device,Sven Flecha,"['Flecha Sven', 'Alcazar Lucas', 'Calixto Nils']","['IT', 'IT', 'IT']",['IT'], Question about behavior of field device,2014-01-08,8,After hours (the rest),Flecha,Sven,1986-11-11,Tethys,Male,Tethys,BirthNation,1986-11-11,Tethys,2006-10-09,2016-10-08,IT,IT Technician,2010-10-15,Sven.Flecha@gastech.com.kronos,,,,Information Technology,IT
321,Henk.Mies@gastech.com.kronos,"Albina.Hafon@gastech.com.kronos,Valeria.Morlun@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos,Henk.Mies@gastech.com.kronos",2014-01-08 19:15:00,RE: Don't text and drive!,Henk Mies,"['Hafon Albina', 'Morlun Valeria', 'Morlun Adan', 'Nant Irene', 'Coginian Dante', 'Arpa Emile', 'Morluniau Cecilia', 'Hawelon Benito', 'Mies Henk']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'], Don't text and drive!,2014-01-08,8,After hours (the rest),Mies,Henk,1984-09-23,Kronos,Male,Kronos,BirthNation,1984-09-23,,,,Facilities,Truck Driver,2013-07-12,Henk.Mies@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,2004-10-01,Facilities,Facilities
322,Dylan.Scozzese@gastech.com.kronos,"Irene.Nant@gastech.com.kronos,Emile.Arpa@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Adan.Morlun@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos",2014-01-08 19:22:00,RE: Don't text and drive!,Dylan Scozzese,"['Nant Irene', 'Arpa Emile', 'Hawelon Claudio', 'Coginian Dante', 'Morlun Adan', 'Hafon Albina', 'Mies Henk', 'Scozzese Dylan']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'], Don't text and drive!,2014-01-08,8,After hours (the rest),Scozzese,Dylan,1986-05-25,Kronos,Male,Kronos,BirthNation,1986-05-25,,,,Facilities,Truck Driver,2007-03-01,Dylan.Scozzese@gastech.com.kronos,ArmedForcesOfKronos,HonorableDischarge,2006-10-01,Facilities,Facilities
323,Varro.Awelon@gastech.com.kronos,"Adan.Morlun@gastech.com.kronos,Varro.Awelon@gastech.com.kronos,Irene.Nant@gastech.com.kronos,Dante.Coginian@gastech.com.kronos,Dylan.Scozzese@gastech.com.kronos,Henk.Mies@gastech.com.kronos,Claudio.Hawelon@gastech.com.kronos,Cecilia.Morluniau@gastech.com.kronos,Albina.Hafon@gastech.com.kronos,Benito.Hawelon@gastech.com.kronos",2014-01-08 19:42:00,RE: New refueling policies - Effective February 1,Varro Awelon,"['Morlun Adan', 'Awelon Varro', 'Nant Irene', 'Coginian Dante', 'Scozzese Dylan', 'Mies Henk', 'Hawelon Claudio', 'Morluniau Cecilia', 'Hafon Albina', 'Hawelon Benito']","['Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities', 'Facilities']",['Facilities'], New refueling policies - Effective February 1,2014-01-08,8,After hours (the rest),Awelon,Varro,1986-05-05,Kronos,Male,Kronos,BirthNation,1986-05-05,,,,Facilities,Janitor,2012-10-22,Varro.Awelon@gastech.com.kronos,ArmedForcesOfKronos,GeneralDischarge,2006-10-01,Facilities,Facilities
324,Adra.Nubarron@gastech.com.kronos,"Adra.Nubarron@gastech.com.kronos,Lars.Azada@gastech.com.kronos,Axel.Calzas@gastech.com.kronos,Lidelse.Dedos@gastech.com.kronos",2014-01-08 19:48:00,RE: Field work rotation schedule,Adra Nubarron,"['Nubarron Adra', 'Azada Lars', 'Calzas Axel', 'Dedos Lidelse']","['Engineering', 'Engineering', 'Engineering', 'Engineering']",['Engineering'], Field work rotation schedule,2014-01-08,8,After hours (the rest),Nubarron,Adra,1968-06-06,Tethys,Female,Tethys,BirthNation,1968-06-06,Tethys,2007-11-12,2017-11-11,Engineering,Geologist,1994-07-08,Adra.Nubarron@gastech.com.kronos,,,,Engineering,Engineering
